DATE,sp500,daily_return
8/13/2014,1946.72,0.006707175
8/14/2014,1955.18,0.004345771
8/15/2014,1955.06,-6.14E-05
8/18/2014,1971.74,0.008531707
8/19/2014,1981.6,0.005000659
8/20/2014,1986.51,0.002477796
8/21/2014,1992.37,0.002949897
8/22/2014,1988.4,-0.001992602
8/25/2014,1997.92,0.004787769
8/26/2014,2000.02,0.001051093
8/27/2014,2000.12,5.00E-05
8/28/2014,1996.74,-0.001689899
8/29/2014,2003.37,0.003320412
9/3/2014,2000.72,-0.000779112
9/4/2014,1997.65,-0.001534448
9/5/2014,2007.71,0.005035917
9/8/2014,2001.54,-0.003073153
9/9/2014,1988.44,-0.00654496
9/10/2014,1995.69,0.003646074
9/11/2014,1997.45,0.0008819
9/12/2014,1985.54,-0.005962602
9/15/2014,1984.13,-0.000710134
9/16/2014,1998.98,0.007484389
9/17/2014,2001.57,0.001295661
9/18/2014,2011.36,0.00489116
9/19/2014,2010.4,-0.000477289
9/22/2014,1994.29,-0.008013331
9/23/2014,1982.77,-0.005776492
9/24/2014,1998.3,0.007832477
9/25/2014,1965.99,-0.016168743
9/26/2014,1982.85,0.008575832
9/29/2014,1977.8,-0.002546839
9/30/2014,1972.29,-0.002785924
10/1/2014,1946.16,-0.013248559
10/2/2014,1946.17,5.14E-06
10/3/2014,1967.9,0.01116552
10/6/2014,1964.82,-0.00156512
10/7/2014,1935.1,-0.015126068
10/8/2014,1968.89,0.01746163
10/9/2014,1928.21,-0.020661388
10/10/2014,1906.13,-0.011451035
10/13/2014,1874.74,-0.016467922
10/14/2014,1877.7,0.001578886
10/15/2014,1862.49,-0.008100336
10/16/2014,1862.76,0.000144967
10/17/2014,1886.76,0.012884107
10/20/2014,1904.01,0.009142657
10/21/2014,1941.28,0.019574477
10/22/2014,1927.11,-0.007299308
10/23/2014,1950.82,0.012303397
10/24/2014,1964.58,0.007053444
10/27/2014,1961.63,-0.001501593
10/28/2014,1985.05,0.011939051
10/29/2014,1982.3,-0.001385356
10/30/2014,1994.65,0.006230137
10/31/2014,2018.05,0.011731381
11/3/2014,2017.81,-0.000118927
11/4/2014,2012.1,-0.002829801
